no	id	skk_key	notation	reading	method	judgment	note
1	954645-536-0041	きらびのいた	鳩尾板	きらび-の-いた	none	o	
2	954646-359-0002	さげきr	下切下斬	さげ-きる	none	x	表記が 2 語つながっている（下切・下斬）
3	954646-306-0013	ごれんちゅう	御簾中	ご-れんちゅう	align	o	
4	954648-607-0032	よびいk	呼活	よび-いく	none	o	
5	954648-436-0001	みこ	美籠	み-こ	none	o	
6	954648-176-0077	ひきうだ	引札	ひきふだ	none	x	紙面は ひき-ふだ
7	954645-049-0030	あたりみ	當肉	あたり-み	none	o	
8	954646-198-0028	こうとう	洪統	こう-とう	align	o	
9	954647-477-0008	てんだいにんにく	天台蒜	てんだい-にんにく	none	o	
10	954648-482-0019	むしかめば	蟲齧齒	むしかめ-ば	none	o	
11	954648-358-0042	ほそけ	火退	ほそけ	none	o	
12	954648-037-0014	ぬすたt	盜起	ぬす-たつ	none	o	
13	954645-150-0015	いてうか	公孫樹科	いてふ-くわ	none	x	いてふ-くわ は いちょうか
14	954646-453-0063	しだりやなぎ	垂柳	しだり-やなぎ	none	o	
15	954648-394-0005	まくらk	枕	まくらく	none	o	
16	954645-549-0059	さびゅうねつ	企業熱	さびふねつ	none	x	紙面は きげふ-ねつ
17	954645-527-0048	かんゆう	奸雄姦雄	かんゆう	none	x	表記が 2 語つながっている
18	954646-391-0044	さんあくだら	三惡道	さん-あくだら	none	x	紙面は さん-あくだう
19	954646-365-0028	さしこm	鎖籠	さし-こむ	none	x	表記は 鎖籠（とざしこむ）の誤読
20	954645-550-0002	きけら	黄喙木鳥	き-けら	none	o	
21	954647-269-0031	たわぶれごころ	戲心	たはぶれ-ごころ	none	o	
22	954648-338-0019	べんてんむすめ	辨天娘	べんてん-むすめ	align	o	
23	954645-234-0052	うまやだてのらま	歴立馬	うまやだて-の-らま	none	x	紙面は うまやだて-の-うま
24	954646-247-0026	こしづけ	腰著	こし-づけ	none	o	
25	954648-326-0042	へち	邊	へち	none	o	
26	954645-297-0025	おっぴらけr	押開	おっ-ぴらける	none	o	
27	954647-536-0046	とぶみ	外文	と-ぶみ	none	o	
28	954645-316-0008	おおせあげr	仰上	おほせ-あげる	none	o	
29	954645-614-0051	ぎりさk	切裂	ぎりさく	none	x	紙面は きり-さく
30	954648-361-0061	ぼたんの	窓	ぼたん-の	none	x	表記の読み取り失敗
31	954645-515-0052	がんかう	眼光	がん-くわう	none	x	現代仮名遣いに変換されていない（がんこう）
32	954646-180-0004	けんぼ	資補	けんぼ	none	x	表記は 賢輔
33	954646-358-0035	さけがたs	避難	さけ-がたし	none	o	
34	954646-058-0005	くらりょうしゅじ	内藏寮主事	くられう-しゅじ	none	o	
35	954646-379-0050	さう	左輔	さふ	none	x	紙面は さ-ふ（読みは さほ）
36	954647-116-0034	せんと	線香	せんと	none	o	
37	954647-565-0018	ないせいけいさつ	内政警察	ないせい-けいさつ	none	o	
38	954648-517-0041	もえしくい	燃代	もえしくひ	none	x	紙面は もえ-くひ
39	954647-610-0033	なまいで	生茹	なまいで	none	o	
40	954647-400-0003	つちおいきぜき	土負木堰	つちおひきぜき	align	x	紙面は つちおひ-さぜき
41	954646-581-0010	しらげかんな	精飽	しらげ-かんな	none	x	表記は 精鉋
42	954645-192-0003	が	宇賀	が	none	x	語頭が欠落（うが）
43	954647-373-0024	じんどr	陣収	ぢんどる	none	x	表記は 陣取
44	954645-466-0026	かいすり	貝磨	かひ-すり	none	o	
45	954646-303-0017	こよみのはかせ	暦博士	こよみ-の-はかせ	none	o	
46	954648-441-0064	みそら	眞空	み-そら	none	o	
47	954648-589-0023	がr	夜離	がる	none	x	語頭が欠落（よ-がる）
48	954646-610-0030	しんちょう	靴岩	しん-てう	none	x	表記の読み取り誤り
49	954647-049-0029	せいさん	精金	せいさん	none	x	紙面は せい-きん
50	954648-676-0005	わいじん	煩燼	わいじん	none	x	表記は 煨燼
51	954647-596-0021	なつずいせん	鹿葱	なつ-ずゐせん	none	o	
52	954648-524-0048	あちや	餅屋	あちや	none	x	語頭が欠落（もち-や）
53	954646-017-0030	くしび	奇靈	くしび	none	o	
54	954645-485-0076	かみつぎ	神調	かみつぎ	none	o	
55	954648-660-0021	るすんがわ	呂宋革	るすん-がは	none	o	
56	954646-351-0049	さがりふすべ	懸床	さがり-ふすべ	none	x	表記は 懸疣
57	954648-435-0011	みくず	水屑	み-くづ	none	o	
58	954647-093-0022	せこだいこ	勢子太鼓	せこ-だいこ	none	o	
59	954645-056-0014	あとのり	跡乘	あと-のり	align	o	
60	954646-208-0043	こがれわb	焦侘	こがれ-わぶ	none	o	
61	954648-349-0048	ほくそ	七黒子	ほくそ	none	x	表記に余分な字（七）
62	954648-608-0033	よびつけ	呼附	よび-つけ	none	o	
63	954645-294-0046	おちざま	落方	おち-ざま	none	o	
64	954645-450-0064	かなにさ	假名日記	かな-にさ	none	x	紙面は かな-にき
65	954646-040-0047	くいいだs	食出	くひ-いだす	none	o	
66	954645-329-0004	おもだか	澤潟	おもだか	none	o	
67	954645-243-0049	らんぽん	盂蘭盆	らんぽん	none	x	語頭が欠落（うらん-ぼん）
68	954645-436-0033	かため	鍛	かため	none	o	
