no	id	skk_key	notation	reading	method	judgment	note
1	954646-161-0004	げんおん	原音	げん-おん	L	o	
2	954647-326-0031	じょうえん	錠鉛	ぢゃう-えん	align	o	
3	954645-443-0019	かっせき	褐石	かっせき	align	o	
4	954645-075-0001	あまもの	甘物	あま-もの	align	o	
5	954648-173-0014	ひきかけむしろ	引懸筵	ひきかけ-むしろ	align	o	
6	954645-403-0052	かけかまい	掛構	かけ-かまひ	JMdict	o	
7	954645-278-0072	おきいし	置石	おきいし	L	o	
8	954647-501-0005	どうぶんぼ	同分母	どう-ぶんぼ	JMdict	o	
9	954648-539-0043	もん	悶	もん	L	o	
10	954648-457-0001	みどりいろ	緑色	みどり-いろ	L	o	
11	954645-300-0025	おとひめぎみ	弟姫君	おとひめ-ぎみ	align	o	
12	954646-507-0034	じょうしゅ	上手	じゃう-しゅ	align	o	
13	954648-456-0003	みていねん	未丁年	みていねん	L	o	
14	954645-068-0047	あおりいか	障泥烏賊	あふり-いか	JMdict	o	
15	954647-307-0043	ちからね	力根	ちから-ね	align	o	
16	954645-455-0016	かのえさる	庚申	かのえ-さゐ	L	o	
17	954648-221-0002	ひょうじょうしゅう	評定衆	ひゃうぢゃう-しゅう	L	o	
18	954648-500-0004	めいさく	名作	めい-さく	L	o	
19	954645-027-0009	あきまめ	秋豆	あき-まめ	align	o	
20	954646-135-0048	げかんのうま	下駻馬	げかん-の-うま	align	o	
21	954645-319-0010	おおなおび	大直日	おほなほび	align	o	
22	954646-174-0018	けんちちょう	檢地帳	けんちちゃう	L	o	
23	954645-341-0029	おりべやき	織部燒	おりべ-やき	L	o	
24	954647-093-0039	せじどころ	世事所	せじ-どころ	align	o	
25	954647-628-0027	なんぎょく	軟玉	なん-ぎょく	JMdict	o	
26	954647-607-0022	のうぜいしかく	納税資格	なふぜいしかく	align	o	
27	954648-325-0005	へこおび	兵兒帶	へこ-おび	L	o	
28	954646-100-0017	かんかん	煥煥	くわん-くわん	align	o	
29	954647-164-0054	そばm	側	そばむ	JMdict	o	
30	954647-505-0009	とかま	利鎌	と-かま	JMdict	o	
31	954648-335-0029	へんじ	變事	へんじ	L	o	
32	954646-188-0055	こうかいしじょう	公開市場	こうかい-しぢゃう	L	o	
33	954645-337-0032	おもやく	重役	おも-やく	align	o	
34	954648-685-0019	わくじょう	惑情	わく-じゃう	align	o	
35	954647-592-0038	なた	鉈	なた	L	o	
36	954645-315-0047	おおじょりん	大如輪	おほじょりん	align	o	
37	954648-040-0049	ぬめr	滑	ぬめる	L	o	
38	954648-027-0056	にめんかぶと	二面冑	にめん-かぶと	align	o	
39	954648-158-0029	ばんてしゅう	番手衆	ばんて-しゅう	align	o	
40	954648-028-0002	にもつぶね	荷物船	にもつ-ぶね	align	o	
41	954647-376-0047	つうじょうゆうびん	通常郵便	つうじゃういうびん	JMdict	o	
42	954645-603-0050	ぎょくざ	玉座	ぎょく-ざ	L	o	
43	954648-704-0036	いどほり	井戶堀	ゐど-ほり	align	o	
44	954648-200-0054	ひっしょう	筆匠	ひっ-しゃう	align	o	
45	954648-109-0017	はたさき	旗先	はた-さき	align	o	
46	954647-035-0049	すいさく	水柵	すゐ-さく	align	o	
47	954645-139-0018	いちれつうかがい	一列伺	いちれつ-うかがひ	align	o	
48	954645-493-0016	かやのあぶら	榧油	かやのあぶら	align	o	
49	954647-434-0040	ていそ	挺楚	てい-そ	align	o	
50	954648-040-0048	ぬめりんず	絖綸子	ぬめりんず	align	o	
51	954648-093-0059	はk	掃	はく	L	o	
52	954648-652-0001	りゅうぢん	龍陣	りゅう-ぢん	align	o	
53	954645-052-0034	あずちや	垜屋	あづち-や	align	o	
54	954648-107-0005	はしけいご	橋警固	はし-けいご	align	o	
55	954647-623-0044	ならべもん	並紋	ならべ-もん	align	o	
56	954645-516-0022	かんけき	間隙	かん-けき	align	o	
57	954646-040-0041	くいあu	食合	くひ-あふ	JMdict	o	
58	954645-326-0009	おおわきざし	大脇差	おほわきざし	align	o	
59	954646-321-0014	さいかくもの	才覺者	さいかく-もの	JMdict	o	
60	954648-095-0019	はくぎょく	璞玉	はく-ぎょく	JMdict	o	
61	954645-400-0059	かくりよ	隱世	かくり-よ	JMdict	o	
62	954648-551-0010	やきものばち	燒物鉢	やきものばち	align	o	
63	954645-369-0011	こうじょうだか	高聲高	かうじゃう-だか	align	o	
64	954648-315-0008	へいかく	兵革	へい-かく	JMdict	o	
65	954647-120-0027	せんしょうぎょく	尖晶玉	せんしゃう-ぎょく	align	o	
66	954647-432-0013	ていざ	帝座	てい-ざ	L	o	
67	954646-288-0023	こいめ	乞目	こひめ	align	o	
68	954648-564-0041	やつかぼ	八束穗	やつか-ぼ	align	o	
69	954645-318-0011	おおてもん	大手門	おほて-もん	L	o	
70	954646-309-0029	こえつ	胡越	こ-ゑつ	align	o	
71	954648-005-0052	にがいろ	苦色	にがいろ	align	o	
72	954645-132-0048	いちごしょう	一期生	いちご-しゃう	align	o	
73	954648-131-0002	はなy	華	はな-やぐ	L	o	
74	954647-458-0015	でなおり	出直	で-なほり	align	o	
75	954645-076-0003	あみぎぬ	阿彌衣	あみ-ぎぬ	align	o	
76	954646-525-0031	じゃけんしん	邪見心	じゃけん-しん	align	o	
77	954647-533-0037	とばs	飛	とばせる	L	o	
78	954645-278-0070	おきあみ	置網	おき-あみ	L	o	
79	954648-270-0021	ふしんしゅう	普請衆	ふしん-しゅう	align	o	
80	954648-266-0030	ぶしかたぎ	武士氣質	ぶしかたぎ	JMdict	o	
81	954645-018-0051	あかご	赤兒	あかご	L	o	
82	954647-469-0030	でんきろ	電氣爐	でんき-ろ	L	o	
83	954648-470-0032	みよはじめ	御代始	みよ-はじめ	align	o	
84	954646-024-0065	くだりむき	下向	くだり-むき	align	o	
85	954648-718-0030	えんおう	寃枉	ゑんわう	align	o	
86	954648-434-0028	みぎのふで	右筆	みぎ-の-ふで	align	o	
87	954647-476-0012	てんせん	點線	てん-せん	L	o	
88	954647-105-0031	せばや	狹屋	せばや	align	o	
89	954647-593-0005	なだいみ	灘忌	なだ-いみ	align	o	
90	954646-404-0035	さんだんがさ	三段笠	さんだん-がさ	align	o	
91	954645-153-0030	いどみがお	挑顏	いどみ-がほ	align	o	
92	954648-527-0016	もとごめじゅう	元込銃	もとごめ-じゅう	JMdict	o	
93	954647-387-0070	つきつm	突詰	つき-つめる	JMdict	o	
