no	id	skk_key	notation	reading	method	judgment	note
1	954648-282-0061	ぶっしゅかん	佛手柑	ぶっしゅ-かん	JMdict	o	
2	954646-043-0008	くいはぐr	食逸	くひ-はぐれる	JMdict	o	
3	954647-281-0041	ためつもの	多米都物	ためつ-もの	align	o	
4	954645-190-0011	いんへんすう	因變數	いん-へんすう	align	o	
5	954646-214-0026	こくか	國華	こく-くわ	align	o	
6	954647-620-0057	なやものし	納屋物師	なやものし	align	o	
7	954645-236-0025	うみせん	海千	うみ-せん	align	o	
8	954648-041-0061	ぬりや	塗屋	ぬりや	align	o	
9	954648-536-0056	ももよせ	股寄	もも-よせ	align	o	
10	954645-354-0041	かいしょう	海相	かい-しゃう	L	o	
11	954645-464-0011	かわいりゅう	河井流	かはゐ-りう	align	o	
12	954648-408-0016	まつやおり	松屋織	まつや-おり	align	o	
13	954646-223-0020	ごかりゅう	五瓜龍	ごくわりゅう	align	o	
14	954647-247-0020	たたきあg	叩上	たたき-あげる	JMdict	o	
15	954645-540-0045	きかん	貴翰	きかん	JMdict	o	
16	954647-190-0050	たいそう	體相	たい-さう	align	o	
17	954648-018-0018	にっく	日供	にっ-く	align	o	
18	954645-592-0010	きょうびと	京人	きゃうびと	JMdict	o	
19	954645-447-0005	かど	下奴	か-ど	align	o	
20	954648-612-0002	よもぎつつみ	蓬包	よもぎ-つつみ	align	o	
21	954648-150-0048	はりづな	張綱	はり-づな	JMdict	o	
22	954648-640-0027	りくとう	陸島	りく-たう	JMdict	o	
23	954648-299-0031	ふりおt	振落	ふり-おとす	JMdict	o	
24	954645-127-0066	いたくち	痛口	いた-くち	align	o	
25	954648-284-0019	ぶつぶ	佛部	ぶつぶ	align	o	
26	954646-168-0028	けんじそうちょう	檢事總長	けんじ-そうちゃう	L	o	
27	954648-646-0032	りょうがんきょう	兩眼鏡	りゃうがん-きゃう	align	o	
28	954647-431-0033	ていげつ	庭月	てい-げつ	align	o	
29	954648-616-0021	よろいもち	鎧餅	よろひ-もち	align	o	
30	954645-284-0041	おくりごう	諡號	おくり-がう	JMdict	o	
31	954645-104-0044	ゆうち	有智	いうち	align	o	
32	954648-717-0006	えんせん	淵泉	ゑん-せん	align	o	
33	954648-694-0048	わらわまい	童舞	わらはまひ	JMdict	o	
34	954645-280-0021	おきつなみ	沖津波	おき-つ-なみ	align	o	
35	954647-537-0028	とおあさ	遠淺	とほしあさ	L	o	
36	954648-553-0008	やくしゃ	譯者	やく-しゃ	L	o	
37	954645-420-0033	かすきゃく	糟客	かす-きゃく	align	o	
38	954646-317-0020	ごんぼ	牛蒡	ごん-ぼ	JMdict	o	
39	954648-097-0041	ばぐそく	馬具足	ば-ぐそく	align	o	
40	954647-393-0055	つくりごと	作言	つくり-ごと	JMdict	o	
41	954647-252-0006	たちきr	斷切	たち-きる	JMdict	o	
42	954647-113-0003	せんぎ	賤妓	せんぎ	align	o	
43	954648-612-0036	よりあいいし	寄合醫師	よりあひいし	align	o	
44	954646-171-0056	げんせい	芫菁	げん-せい	JMdict	o	
45	954646-500-0043	しょうきんぎんこう	正金銀行	しゃうきん-ぎんかう	JMdict	o	
46	954645-432-0024	かたてなぐり	片手擲	かたて-なぐり	align	o	
47	954648-542-0027	もんえい	門衞	もん-ゑい	L	o	
48	954648-039-0017	ぬいかえしおび	縫返帶	ぬひかへし-おび	align	o	
49	954647-461-0017	じょうろく	疊六	でふ-ろく	align	o	
50	954646-560-0005	じゅんふ	准布	じゅん-ふ	align	o	
51	954647-319-0067	ちつろくこうさい	秩祿公債	ちつろく-こうさい	align	o	
52	954648-427-0040	まんねんしんぞ	萬年新造	まんねん-しんぞ	JMdict	o	
53	954648-589-0014	よかわ	夜川	よかは	align	o	
54	954647-105-0002	ぜにおうれん	錢黄蓮	ぜに-わうれん	align	o	
55	954647-029-0005	すみや	炭屋	すみ-や	JMdict	o	
56	954648-464-0008	みめすがた	見目姿	みめ-すがた	align	o	
57	954648-408-0041	まつりぬし	祭主	まつり-ぬし	align	o	
58	954648-010-0055	にくりん	肉林	にく-りん	align	o	
59	954648-064-0051	のこりもの	殘物	のこり-もの	L	o	
60	954647-278-0003	たまつき	玉坏	たま-つき	align	o	
61	954645-468-0010	かひん	佳賓	かひん	JMdict	o	
62	954646-309-0029	こえつ	胡越	こ-ゑつ	align	o	
63	954645-605-0053	きょくむ	局務	きょくむ	align	o	
64	954648-519-0018	もくさく	木醋	もく-さく	JMdict	o	
65	954645-347-0043	かいう	海宇	かい-う	align	o	
66	954648-220-0041	ひょうしょ	兵書	ひゃう-しょ	align	o	
67	954646-499-0048	しょうき	將器	しゃう-き	L	o	
68	954648-011-0021	にげきず	逃疵	にげ-きず	align	o	
69	954648-150-0020	はりたけ	針茸	はり-たけ	align	o	
70	954647-363-0011	じょちたか	除地高	ぢょちたか	align	o	
71	954647-402-0040	つつせき	筒關	つつ-せき	align	o	
72	954645-049-0024	あたりび	當日	あたり-び	JMdict	o	
73	954645-439-0048	かちくしゃ	家畜車	かちく-しゃ	JMdict	o	
74	954646-501-0013	じょうかい	常會	じゃう-くわい	L	o	
75	954645-396-0044	がくしゅ	樂手	がく-しゅ	L	o	
76	954645-473-0060	かえ	代	かへ	JMdict	o	
77	954646-127-0037	けいどじ	經度時	けいど-じ	align	o	
78	954647-464-0019	てり	照	てり	JMdict	o	
79	954648-335-0011	へんさい	邊塞	へん-さい	JMdict	o	
80	954645-268-0056	えりしめ	襟締	えり-しめ	align	o	
81	954646-211-0019	こきゃくじょう	沽却狀	こきゃく-じゃう	align	o	
82	954645-409-0061	かごやもの	籠屋者	かごやもの	align	o	
83	954647-008-0041	すきおk	鋤起	すき-おこす	JMdict	o	
84	954645-226-0017	うのはなやき	卯花燒	うのはな-やき	align	o	
85	954647-122-0010	せんしんしゃ	先進者	せんしん-しゃ	align	o	
86	954648-042-0040	ぬれに	濡荷	ぬれに	align	o	
87	954645-377-0021	こうもと	香元	かう-もと	JMdict	o	
88	954646-221-0002	こくみんぐん	國民軍	こくみん-ぐん	L	o	
89	954647-114-0023	ぜんきんばらい	前金拂	ぜんきん-ばらひ	JMdict	o	
90	954646-462-0012	じつだん	實彈	じつ-だん	L	o	
91	954647-312-0006	ちくれん	竹簾	ちく-れん	align	o	
92	954648-563-0021	やだいじんもん	矢大神門	やだいじん-もん	align	o	
93	954646-187-0045	ごいんど	五印度	ご-いんど	align	o	
94	954646-406-0022	さんなくしゅ	三惡趣	さん-なくしゅ	JMdict	o	
95	954646-034-0008	くつろぎ	寛	くつろぎ	JMdict	o	
96	954648-710-0013	えかき	繪書	ゑかさ	L	o	
97	954648-527-0008	もとぎん	元銀	もと-ぎん	align	o	
98	954647-361-0027	ちょくい	直位	ちょくゐ	align	o	
99	954646-251-0008	ごしゅいんあらため	御朱印改	ごしゅいん-あらため	align	o	
100	954648-467-0058	みやつこ	御奴	ひやつこ	JMdict	o	
101	954647-591-0036	なすじょう	茄錠	なす-ぢゃう	align	o	
102	954645-361-0023	かいりょく	戒力	かい-りょく	align	o	
103	954646-234-0022	こころうごき	心動	こころ-うごき	align	o	
104	954648-166-0027	ひいじじ	曾祖父	ひい-ぢぢ	L	o	
105	954647-034-0003	すいき	醉氣	すゐ-き	align	o	
106	954646-523-0009	しゃくじょうまめ	錫杖豆	しゃくぢゃう-まめ	align	o	
107	954645-154-0057	いなたば	稻把	いな-たば	align	o	
108	954647-260-0013	たてかじ	立柁	たて-かぢ	align	o	
109	954646-583-0048	しらむし	白蒸	しら-むし	JMdict	o	
110	954646-442-0016	じしょうふじょう	自性不淨	じしゃう-ふじゃう	align	o	
111	954646-253-0044	ごしんぞうさま	御新造樣	ごしんざうさま	align	o	
112	954646-525-0040	しゃこう	車工	しゃ-こう	align	o	
113	954647-600-0039	ななつわりよつめ	七割四目	ななつわり-よつめ	align	o	
114	954647-605-0020	なわからげ	繩紮	なは-からげ	align	o	
115	954648-156-0045	はんしょう	半霄	はん-せう	align	o	
116	954648-376-0050	ぼんぎょう	梵行	ぼんぎゃう	JMdict	o	
117	954645-364-0023	こうかさくどう	高架索道	かうか-さくだう	align	o	
118	954647-626-0017	なるこなわ	鳴子繩	なるこ-なは	align	o	
119	954645-306-0005	おびかね	帶金	おびかね	align	o	
120	954646-571-0041	しょが	書畫	しょ-ぐわ	L	o	
121	954645-111-0018	いきあu	行合	いき-あふ	JMdict	o	
122	954648-461-0030	みほr	見惚	みほる	JMdict	o	
123	954648-129-0049	はなふき	鼻拭	はな-ふき	JMdict	o	
124	954645-456-0030	かわいた	側板	かは-いた	JMdict	o	
125	954646-594-0032	じんう	甚雨	じん-う	align	o	
126	954647-114-0019	せんきん	仙禽	せん-きん	align	o	
127	954647-623-0042	ならべたt	並立	ならべ-たてる	JMdict	o	
128	954648-269-0011	ぶしゃまと	奉射的	ぶしゃ-まと	align	o	
129	954648-010-0005	にくちゅう	肉柱	にくちゅう	JMdict	o	
130	954648-093-0032	はぎのもち	萩餅	はぎ-の-もち	JMdict	o	
131	954645-498-0019	からしお	鹹鹽	からしほ	JMdict	o	
132	954645-200-0018	うさいたい	烏犀帶	うさい-たい	JMdict	o	
133	954645-486-0086	かみのみち	神道	かみのみち	align	o	
134	954646-408-0045	さんぶつじょう	讃佛乘	さんぶつ-じょう	L	o	
135	954647-198-0038	たいせきはんけつ	對席判決	たいせき-はんけつ	align	o	
136	954645-527-0049	かんよ	神代	かんよ	align	o	
137	954645-533-0046	きゅうこう	九功	きう-こう	align	o	
138	954647-017-0013	すずめのまくら	雀枕	すずめ-の-まくら	align	o	
139	954647-476-0011	てんせん	點錢	てん-せん	align	o	
140	954647-471-0030	てんぞう	典藏	てんざう	align	o	
141	954648-430-0016	みあげのいた	見上板	みあげ-の-いた	align	o	
142	954645-609-0019	ぎょのう	魚腦	ぎょ-なう	L	o	
143	954646-337-0014	そうこかいしゃ	倉庫會社	さうこ-くわいしゃ	align	o	
144	954648-694-0049	わらわめ	童女	わらはめ	JMdict	o	
